airports.id,airports.airport_name
1,ABR
2,ABI
3,ADK
4,KKI
5,AKI
6,CAK
7,KQA
8,AUK
9,ALM
10,ALS
11,ALB
12,CVO
13,QWY
14,ABQ
15,WKK
16,AEX
17,AET
18,ABE
19,AIA
20,APN
21,AOO
22,AMA
23,ABL
24,AKP
25,ANC
26,AGN
27,ANI
28,ANV
29,ATW
30,ACV
31,ARC
32,AVL
33,HTS
34,ASE
35,AHN
36,AKB
37,ATL
38,AIY
39,ATK
40,AGS
41,AUG
42,AUS
43,BFL
44,BWI
45,BGR
46,BHB
47,BRW
48,BTI
49,BTR
50,MBS
51,BPT
52,ZBV
53,WBQ
54,BKW
55,BED
56,BLV
57,BLI
58,BJI
59,BEH
60,BET
61,ABE
62,BTT
63,BIL
64,GPT
65,BGM
66,KBC
67,BHM
68,BIS
69,BID
70,BMI
71,BLF
72,BOI
73,BOS
74,XHH
75,WHH
76,WBU
77,BYA
78,BWG
79,BZN
80,BFD
81,BRD
82,BWD
83,QKB
84,TRI
85,BKX
86,RBH
87,BRO
88,BQK
89,BKC
90,BUF
91,IFP
92,BUR
93,BRL
94,BTV
95,BTM
96,CAK
97,CGI
98,LUR
99,EHM
100,MDH
101,CLD
102,CNM
103,MRY
104,CPR
105,CDC
106,CID
107,CEM
108,CDR
109,CIK
110,CMI
111,CHS
112,CRW
113,CLT
114,CHO
115,CHA
116,CYF
117,VAK
118,CYS
119,CGX
120,CHI
121,MDW
122,ORD
123,CKX
124,CIC
125,KCG
126,KCQ
127,KCL
128,CZN
129,HIB
130,CHU
131,CVG
132,CHP
133,IRC
134,CLP
135,CKB
136,PIE
137,CLE
138,CVN
139,COD
140,CFA
141,KCC
142,CDB
143,CLL
144,COS
145,COU
146,CAE
147,CSG
148,GTR
149,CMH
150,CCR
151,CNK
152,QCE
153,CDV
154,CRP
155,CEZ
156,CGA
157,CEC
158,CKO
159,CUW
160,CBE
161,DFW
162,DAY
163,DAB
164,DEC
165,DRG
166,DJN
167,DEN
168,QWM
169,DSM
170,DTT
171,DTW
172,DVL
173,DIK
174,DLG
175,DDC
176,DHN
177,DUJ
178,DBQ
179,DLH
180,DRO
181,RDU
182,RDU
183,DUT
184,ABE
185,EAU
186,EDA
187,EEK
188,KKU
189,KEK
190,IPL
191,ELD
192,ELP
193,ELV
194,ELI
195,EKO
196,ELM
197,LYU
198,EMK
199,BGM
200,WDG
201,ERI
202,ESC
203,EUG
204,ACV
205,EUE
206,EVV
207,FAI
208,FAR
209,FYV
210,XNA
211,FAY
212,FLG
213,FNT
214,FLO
215,MSL
216,FNL
217,QWF
218,FOD
219,FLL
220,TBN
221,RSW
222,FSM
223,VPS
224,FWA
225,DFW
226,FKL
227,FAT
228,GNV
229,GUP
230,GCK
231,GYY
232,GCC
